wtInsv__insvInsv	wtElba3__elba3Elba3	wtElba2__elba2Elba2	wtElba1__elba1Elba1	insvElba3__elba3Elba3	insvElba2__elba2Elba2	insvElba1__elba1Elba1	elba3Insv__insvInsv	elba3Elba2__elba2Elba2	elba2Insv__insvInsv	elba2Elba3__elba3Elba3	elba2Elba1__elba1Elba1	elba1Insv__insvInsv	elba1Elba3__elba3Elba3	elba1Elba2__elba2Elba2	Total	Name
X	X		X	X		X						X	X		2	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
X					X					X					1	wtInsv__insvInsv|insvElba2__elba2Elba2|elba2Elba3__elba3Elba3
X				X					X	X			X		1	wtInsv__insvInsv|insvElba3__elba3Elba3|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Elba3__elba3Elba3
X	X		X	X	X	X			X				X		1	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba2__elba2Elba2|insvElba1__elba1Elba1|elba2Insv__insvInsv|elba1Elba3__elba3Elba3
	X		X	X	X	X				X	X				1	wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba2__elba2Elba2|insvElba1__elba1Elba1|elba2Elba3__elba3Elba3|elba2Elba1__elba1Elba1
	X		X	X	X	X				X	X		X		5	wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba2__elba2Elba2|insvElba1__elba1Elba1|elba2Elba3__elba3Elba3|elba2Elba1__elba1Elba1|elba1Elba3__elba3Elba3
X	X		X			X			X			X	X		1	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba1__elba1Elba1|elba2Insv__insvInsv|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
	X	X	X												13	wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1
	X	X	X										X		1	wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|elba1Elba3__elba3Elba3
X	X						X								3	wtInsv__insvInsv|wtElba3__elba3Elba3|elba3Insv__insvInsv
X	X						X						X		1	wtInsv__insvInsv|wtElba3__elba3Elba3|elba3Insv__insvInsv|elba1Elba3__elba3Elba3
X	X			X					X	X	X				1	wtInsv__insvInsv|wtElba3__elba3Elba3|insvElba3__elba3Elba3|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba2Elba1__elba1Elba1
X	X			X					X	X	X		X		15	wtInsv__insvInsv|wtElba3__elba3Elba3|insvElba3__elba3Elba3|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba2Elba1__elba1Elba1|elba1Elba3__elba3Elba3
X	X		X	X			X								1	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba3__elba3Elba3|elba3Insv__insvInsv
	X			X						X					151	wtElba3__elba3Elba3|insvElba3__elba3Elba3|elba2Elba3__elba3Elba3
	X			X						X			X		456	wtElba3__elba3Elba3|insvElba3__elba3Elba3|elba2Elba3__elba3Elba3|elba1Elba3__elba3Elba3
X	X		X				X		X						1	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv
X	X			X		X			X	X	X		X		2	wtInsv__insvInsv|wtElba3__elba3Elba3|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba2Elba1__elba1Elba1|elba1Elba3__elba3Elba3
X	X		X	X		X	X								5	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba3Insv__insvInsv
X	X		X				X		X				X		1	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba1Elba3__elba3Elba3
X	X		X	X		X	X						X		1	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba1Elba3__elba3Elba3
X				X			X	X	X						1	wtInsv__insvInsv|insvElba3__elba3Elba3|elba3Insv__insvInsv|elba3Elba2__elba2Elba2|elba2Insv__insvInsv
	X		X	X					X	X			X		7	wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba3__elba3Elba3|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Elba3__elba3Elba3
	X		X	X	X	X			X			X			1	wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba2__elba2Elba2|insvElba1__elba1Elba1|elba2Insv__insvInsv|elba1Insv__insvInsv
	X						X					X	X		1	wtElba3__elba3Elba3|elba3Insv__insvInsv|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
	X		X			X									51	wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba1__elba1Elba1
	X		X			X							X		1	wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba1__elba1Elba1|elba1Elba3__elba3Elba3
	X					X	X					X	X		1	wtElba3__elba3Elba3|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
								X	X						1	elba3Elba2__elba2Elba2|elba2Insv__insvInsv
	X		X				X		X			X			1	wtElba3__elba3Elba3|wtElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba1Insv__insvInsv
	X		X	X		X	X					X			1	wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba1Insv__insvInsv
	X		X	X	X	X	X		X						1	wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba2__elba2Elba2|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv
X				X					X	X		X	X		1	wtInsv__insvInsv|insvElba3__elba3Elba3|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
	X	X	X	X	X										5	wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba2__elba2Elba2
	X	X	X									X			1	wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|elba1Insv__insvInsv
X	X		X												8	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba1__elba1Elba1
X	X						X					X			2	wtInsv__insvInsv|wtElba3__elba3Elba3|elba3Insv__insvInsv|elba1Insv__insvInsv
	X	X	X	X	X	X									83	wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba2__elba2Elba2|insvElba1__elba1Elba1
X	X						X					X	X		1	wtInsv__insvInsv|wtElba3__elba3Elba3|elba3Insv__insvInsv|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
	X	X	X	X	X	X							X		4	wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba2__elba2Elba2|insvElba1__elba1Elba1|elba1Elba3__elba3Elba3
X	X		X			X									5	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba1__elba1Elba1
X	X			X					X	X	X	X	X		1	wtInsv__insvInsv|wtElba3__elba3Elba3|insvElba3__elba3Elba3|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba2Elba1__elba1Elba1|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
	X			X						X		X	X		1	wtElba3__elba3Elba3|insvElba3__elba3Elba3|elba2Elba3__elba3Elba3|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
X	X		X				X		X			X			9	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba1Insv__insvInsv
X	X			X		X			X	X	X	X	X		2	wtInsv__insvInsv|wtElba3__elba3Elba3|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba2Elba1__elba1Elba1|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
X	X		X				X		X			X	X		3	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
X	X		X	X		X	X					X			1	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba1Insv__insvInsv
	X	X		X						X	X		X		2	wtElba3__elba3Elba3|wtElba2__elba2Elba2|insvElba3__elba3Elba3|elba2Elba3__elba3Elba3|elba2Elba1__elba1Elba1|elba1Elba3__elba3Elba3
	X	X	X	X					X	X	X		X		1	wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba2Elba1__elba1Elba1|elba1Elba3__elba3Elba3
X	X			X			X		X	X	X				1	wtInsv__insvInsv|wtElba3__elba3Elba3|insvElba3__elba3Elba3|elba3Insv__insvInsv|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba2Elba1__elba1Elba1
X	X			X			X		X	X	X		X		3	wtInsv__insvInsv|wtElba3__elba3Elba3|insvElba3__elba3Elba3|elba3Insv__insvInsv|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba2Elba1__elba1Elba1|elba1Elba3__elba3Elba3
	X				X	X									2	wtElba3__elba3Elba3|insvElba2__elba2Elba2|insvElba1__elba1Elba1
	X		X	X	X		X		X			X			1	wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba2__elba2Elba2|elba3Insv__insvInsv|elba2Insv__insvInsv|elba1Insv__insvInsv
	X		X	X	X	X	X		X			X			3	wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba2__elba2Elba2|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba1Insv__insvInsv
											X				3	elba2Elba1__elba1Elba1
											X		X		1	elba2Elba1__elba1Elba1|elba1Elba3__elba3Elba3
	X	X	X	X	X							X			1	wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba2__elba2Elba2|elba1Insv__insvInsv
	X								X	X	X				2	wtElba3__elba3Elba3|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba2Elba1__elba1Elba1
	X			X		X				X	X				5	wtElba3__elba3Elba3|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba2Elba3__elba3Elba3|elba2Elba1__elba1Elba1
	X								X	X	X		X		2	wtElba3__elba3Elba3|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba2Elba1__elba1Elba1|elba1Elba3__elba3Elba3
	X		X				X								1	wtElba3__elba3Elba3|wtElba1__elba1Elba1|elba3Insv__insvInsv
	X			X		X				X	X		X		19	wtElba3__elba3Elba3|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba2Elba3__elba3Elba3|elba2Elba1__elba1Elba1|elba1Elba3__elba3Elba3
X		X	X				X		X			X			1	wtInsv__insvInsv|wtElba2__elba2Elba2|wtElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba1Insv__insvInsv
X	X		X	X	X	X									2	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba2__elba2Elba2|insvElba1__elba1Elba1
X									X	X					5	wtInsv__insvInsv|elba2Insv__insvInsv|elba2Elba3__elba3Elba3
X									X	X			X		1	wtInsv__insvInsv|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Elba3__elba3Elba3
X		X	X			X	X		X			X			3	wtInsv__insvInsv|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba1Insv__insvInsv
X	X		X	X	X		X		X			X			1	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba2__elba2Elba2|elba3Insv__insvInsv|elba2Insv__insvInsv|elba1Insv__insvInsv
	X		X	X		X			X	X	X		X		2	wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba2Elba1__elba1Elba1|elba1Elba3__elba3Elba3
	X			X		X	X		X	X	X	X	X		1	wtElba3__elba3Elba3|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba2Elba1__elba1Elba1|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
X						X			X	X					1	wtInsv__insvInsv|insvElba1__elba1Elba1|elba2Insv__insvInsv|elba2Elba3__elba3Elba3
X				X			X		X	X		X			3	wtInsv__insvInsv|insvElba3__elba3Elba3|elba3Insv__insvInsv|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Insv__insvInsv
X				X			X		X	X		X	X		4	wtInsv__insvInsv|insvElba3__elba3Elba3|elba3Insv__insvInsv|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
X											X				1	wtInsv__insvInsv|elba2Elba1__elba1Elba1
X				X		X	X		X	X		X			2	wtInsv__insvInsv|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Insv__insvInsv
X	X			X						X	X				2	wtInsv__insvInsv|wtElba3__elba3Elba3|insvElba3__elba3Elba3|elba2Elba3__elba3Elba3|elba2Elba1__elba1Elba1
X				X		X	X		X	X		X	X		4	wtInsv__insvInsv|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
X	X			X						X	X		X		22	wtInsv__insvInsv|wtElba3__elba3Elba3|insvElba3__elba3Elba3|elba2Elba3__elba3Elba3|elba2Elba1__elba1Elba1|elba1Elba3__elba3Elba3
		X						X						X	2	wtElba2__elba2Elba2|elba3Elba2__elba2Elba2|elba1Elba2__elba2Elba2
X	X								X	X	X				1	wtInsv__insvInsv|wtElba3__elba3Elba3|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba2Elba1__elba1Elba1
X	X			X		X				X	X				1	wtInsv__insvInsv|wtElba3__elba3Elba3|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba2Elba3__elba3Elba3|elba2Elba1__elba1Elba1
X	X								X	X	X		X		1	wtInsv__insvInsv|wtElba3__elba3Elba3|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba2Elba1__elba1Elba1|elba1Elba3__elba3Elba3
X	X		X				X								1	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba1__elba1Elba1|elba3Insv__insvInsv
X	X			X		X				X	X		X		3	wtInsv__insvInsv|wtElba3__elba3Elba3|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba2Elba3__elba3Elba3|elba2Elba1__elba1Elba1|elba1Elba3__elba3Elba3
X	X			X			X		X	X	X	X			2	wtInsv__insvInsv|wtElba3__elba3Elba3|insvElba3__elba3Elba3|elba3Insv__insvInsv|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba2Elba1__elba1Elba1|elba1Insv__insvInsv
X	X		X	X					X	X	X		X		1	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba3__elba3Elba3|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba2Elba1__elba1Elba1|elba1Elba3__elba3Elba3
X	X		X			X	X								1	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba1__elba1Elba1|elba3Insv__insvInsv
X	X			X			X		X	X	X	X	X		7	wtInsv__insvInsv|wtElba3__elba3Elba3|insvElba3__elba3Elba3|elba3Insv__insvInsv|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba2Elba1__elba1Elba1|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
	X		X	X						X					17	wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba3__elba3Elba3|elba2Elba3__elba3Elba3
	X		X	X						X			X		63	wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba3__elba3Elba3|elba2Elba3__elba3Elba3|elba1Elba3__elba3Elba3
X	X		X	X		X			X	X	X				2	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba2Elba1__elba1Elba1
X	X		X	X		X			X	X	X		X		8	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba2Elba1__elba1Elba1|elba1Elba3__elba3Elba3
X	X			X			X	X	X	X			X		1	wtInsv__insvInsv|wtElba3__elba3Elba3|insvElba3__elba3Elba3|elba3Insv__insvInsv|elba3Elba2__elba2Elba2|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Elba3__elba3Elba3
X	X	X		X			X		X						1	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|insvElba3__elba3Elba3|elba3Insv__insvInsv|elba2Insv__insvInsv
	X		X	X		X				X					21	wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba2Elba3__elba3Elba3
	X		X	X		X				X			X		79	wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba2Elba3__elba3Elba3|elba1Elba3__elba3Elba3
								X							16	elba3Elba2__elba2Elba2
	X		X	X	X	X	X								1	wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba2__elba2Elba2|insvElba1__elba1Elba1|elba3Insv__insvInsv
X	X	X		X	X	X	X		X	X		X	X		1	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|insvElba3__elba3Elba3|insvElba2__elba2Elba2|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
	X		X			X	X					X			1	wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba1Insv__insvInsv
							X		X	X					5	elba3Insv__insvInsv|elba2Insv__insvInsv|elba2Elba3__elba3Elba3
X									X	X		X			6	wtInsv__insvInsv|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Insv__insvInsv
X									X	X		X	X		2	wtInsv__insvInsv|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
	X	X		X		X									3	wtElba3__elba3Elba3|wtElba2__elba2Elba2|insvElba3__elba3Elba3|insvElba1__elba1Elba1
							X	X	X			X			1	elba3Insv__insvInsv|elba3Elba2__elba2Elba2|elba2Insv__insvInsv|elba1Insv__insvInsv
	X	X	X		X										1	wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba2__elba2Elba2
	X	X	X	X		X			X						2	wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba2Insv__insvInsv
	X			X			X			X	X		X		1	wtElba3__elba3Elba3|insvElba3__elba3Elba3|elba3Insv__insvInsv|elba2Elba3__elba3Elba3|elba2Elba1__elba1Elba1|elba1Elba3__elba3Elba3
	X	X		X		X	X		X			X			1	wtElba3__elba3Elba3|wtElba2__elba2Elba2|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba1Insv__insvInsv
	X	X	X	X		X			X				X		1	wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba2Insv__insvInsv|elba1Elba3__elba3Elba3
X	X			X		X	X		X						1	wtInsv__insvInsv|wtElba3__elba3Elba3|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv
X		X	X			X	X								1	wtInsv__insvInsv|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba1__elba1Elba1|elba3Insv__insvInsv
				X					X						12	insvElba3__elba3Elba3|elba2Insv__insvInsv
				X					X				X		1	insvElba3__elba3Elba3|elba2Insv__insvInsv|elba1Elba3__elba3Elba3
X								X							1	wtInsv__insvInsv|elba3Elba2__elba2Elba2
X	X								X	X	X	X	X		1	wtInsv__insvInsv|wtElba3__elba3Elba3|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba2Elba1__elba1Elba1|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
	X			X	X					X			X		3	wtElba3__elba3Elba3|insvElba3__elba3Elba3|insvElba2__elba2Elba2|elba2Elba3__elba3Elba3|elba1Elba3__elba3Elba3
